EUR	2019-05-06T22:11:03.837594
BGN	1.9558
NZD	1.6936
ILS	4.0206
RUB	72.975
CAD	1.5095
USD	1.1199
PHP	58.187
CHF	1.1403
ZAR	16.2549
AUD	1.6021
JPY	124.13
TRY	6.7429
HKD	8.7871
MYR	4.6448
THB	35.73
HRK	7.4124
NOK	9.7905
IDR	16006.17
DKK	7.4662
CZK	25.715
HUF	323.43
GBP	0.8547
MXN	21.3243
KRW	1311.18
ISK	136.2
SGD	1.5266
BRL	4.4468
PLN	4.2832
INR	77.7325
RON	4.7555
CNY	7.5771
SEK	10.7258
